"Brand","Title","Price","Rating","link"
"EltaMD","UV Clear Broad-Spectrum SPF 46 (1.7 oz.)","$35.00","5","/product_UV+Clear+BroadSpectrum+SPF+46_20567.htm"
"SkinCeuticals","Phloretin CF (1 fl. oz.)","$166.00","5","/product_Phloretin+CF_20342.htm"
"Dr. Dennis Gross Skincare","SpectraLite™ FaceWare Pro (1 piece)","$435.00","5","/product_SpectraLite+FaceWare+Pro_77335.htm"
"SkinCeuticals","Adult Anti-Acne System (3 piece)","$135.00 ($173.00 VALUE)","5","/product_Adult+AntiAcne+System_38329.htm"
"iS Clinical","Active Serum (1 fl. oz.)","$135.00","5","/product_Active+Serum_10787.htm"
"EltaMD","UV Clear Broad-Spectrum SPF 46 - Tinted (1.7 oz.)","$37.00","5","/product_UV+Clear+BroadSpectrum+SPF+46++Tinted_63585.htm"
"Dr. Dennis Gross Skincare","Alpha Beta Extra Strength Daily Peel - Packettes (60 count)","$150.00","5","/product_Alpha+Beta+Extra+Strength+Daily+Peel++Packettes_43315.htm"
"iS Clinical","Pro-Heal Serum Advance Plus (1 fl. oz.)","$148.00","5","/product_ProHeal+Serum+Advance+Plus_15853.htm"
"Sunday Riley","A&plus High-Dose Retinoid Serum (1 fl. oz.)","$85.00","4","/product_A+HighDose+Retinoid+Serum_80441.htm"
"Paula's Choice","SKIN PERFECTING 2&percnt BHA Liquid Exfoliant (4 fl. oz.)","$29.50","5","/product_SKIN+PERFECTING+2+BHA+Liquid+Exfoliant_54641.htm"
"Sunday Riley","U.F.O. Ultra-Clarifying Acne Treatment Face Oil (1.18 fl. oz.)","$80.00","5","/product_UFO+UltraClarifying+Acne+Treatment+Face+Oil_70305.htm"
"ORA","Electric Microneedle Derma Pen System (4 piece)","$82.00","5","/product_Electric+Microneedle+Derma+Pen+System_67423.htm"
"Eminence Organic Skin Care","Clear Skin Probiotic Cleanser (8.4 fl. oz.)","$42.00","5","/product_Clear+Skin+Probiotic+Cleanser_47301.htm"
"Obagi","Nu-Derm Foaming Gel (6.7 fl. oz.)","$43.00","5","/product_NuDerm+Foaming+Gel_1172.htm"
